"행정구역","2025년10월_전월인구수_남자인구수","2025년10월_전월인구수_여자인구수","2025년10월_전월인구수_계","2025년10월_당월인구수_남자인구수","2025년10월_당월인구수_여자인구수","2025년10월_당월인구수_계","2025년10월_인구증감_남자인구수","2025년10월_인구증감_여자인구수","2025년10월_인구증감_계"
"경기도 경기도 시흥시 (4139000000)","267,989","246,342","514,331","268,118","246,584","514,702","129","242","371"
"경기도 시흥시 대야동(4139051000)","20,997","20,744","41,741","20,906","20,675","41,581","-91","-69","-160"
"경기도 시흥시 신천동(4139052000)","16,976","15,854","32,830","16,876","15,794","32,670","-100","-60","-160"
"경기도 시흥시 신현동(4139053100)","4,706","4,205","8,911","4,677","4,186","8,863","-29","-19","-48"
"경기도 시흥시 은행동(4139054000)","27,064","27,365","54,429","27,560","27,790","55,350","496","425","921"
"경기도 시흥시 매화동(4139055000)","5,849","5,226","11,075","5,831","5,208","11,039","-18","-18","-36"
"경기도 시흥시 목감동(4139057000)","20,703","20,103","40,806","20,703","20,091","40,794","0","-12","-12"
"경기도 시흥시 군자동(4139058100)","11,123","10,282","21,405","11,096","10,257","21,353","-27","-25","-52"
"경기도 시흥시 월곶동(4139058200)","9,138","8,369","17,507","9,131","8,355","17,486","-7","-14","-21"
"경기도 시흥시 정왕본동(4139058900)","11,053","6,443","17,496","11,029","6,444","17,473","-24","1","-23"
"경기도 시흥시 정왕1동(4139059100)","12,315","8,340","20,655","12,315","8,329","20,644","0","-11","-11"
"경기도 시흥시 정왕2동(4139059200)","13,782","12,844","26,626","13,768","12,842","26,610","-14","-2","-16"
"경기도 시흥시 정왕3동(4139059300)","12,265","9,110","21,375","12,237","9,077","21,314","-28","-33","-61"
"경기도 시흥시 정왕4동(4139059400)","9,654","9,842","19,496","9,625","9,829","19,454","-29","-13","-42"
"경기도 시흥시 배곧1동(4139059600)","17,615","17,618","35,233","17,636","17,642","35,278","21","24","45"
"경기도 시흥시 배곧2동(4139059700)","18,392","16,976","35,368","18,379","16,983","35,362","-13","7","-6"
"경기도 시흥시 과림동(4139062100)","1,061","655","1,716","1,060","659","1,719","-1","4","3"
"경기도 시흥시 연성동(4139063000)","12,065","11,645","23,710","12,023","11,623","23,646","-42","-22","-64"
"경기도 시흥시 장곡동(4139063100)","23,479","23,267","46,746","23,486","23,306","46,792","7","39","46"
"경기도 시흥시 능곡동(4139064000)","12,927","13,212","26,139","12,918","13,215","26,133","-9","3","-6"
"경기도 시흥시 거북섬동(4139065000)","6,825","4,242","11,067","6,862","4,279","11,141","37","37","74"
